term,period,meetingno,temp_meeting_no,billn,billcontent,billresult,url,date
6,2,5,0,1,(二)第一條修正為：「為落實憲法保障之言論自由，謹守黨政軍退出媒體之精神，促進通訊傳播健全發展，維護媒體專業自主，有效辦理通訊傳播管理事項，確保通訊傳播市場公平有效競爭，保障消費者及尊重弱勢權益，促進多元文化均衡發展，提升國家競爭力，特設國家通訊傳播委員會（以下簡稱本會）。」（在場委員113人，贊成者111人，反對者2人，多數通過；並採記名表決方式，表決結果名單附後） ,Passed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/05/LCEWC03_060205.htm,"094/10/07, 094/10/11"
6,2,3,0,1,參、本院親民黨黨團提議變更議程，將討論事項第十五案「海峽兩岸和平促進法草案」改列為第八案。【在場委員204人，贊成者113人，反對者91人，多數通過，並採記名表決方式，表決結果名單附後(一)】 ,Passed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/03/LCEWC03_060203.htm,"094/09/23, 094/09/27"
6,2,3,0,2,肆、本院國民黨黨團提議變更議程，將國民黨黨團及親民黨黨團擬具之「三一九槍擊事件真相調查特別委員會條例部分條文修正草案」由法制、司法兩委員會抽出，逕付二讀，並列為本次會議討論事項第十六案。【在場委員205人，贊成者111人，反對者94人，多數通過，並採記名表決方式，表決結果名單附後(二)】 ,Passed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/03/LCEWC03_060203.htm,"094/09/23, 094/09/27"
6,2,3,0,3,伍、本院國民黨黨團提議變更議程，將國民黨黨團及親民黨黨團分別擬具之「中央選舉委員會組織法草案」由法制、內政及民族兩委員會抽出，逕付二讀，並列為本次會議討論事項第十七案。【在場委員206人，贊成者113人，反對者93人，多數通過，並採記名表決方式，表決結果名單附後(三)】 ,Passed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/03/LCEWC03_060203.htm,"094/09/23, 094/09/27"
6,2,3,0,4,陸、本院國民黨黨團提議變更議程，將蔡委員啟芳等擬具之「法院組織法部分條文修正草案」由法制、司法兩委員會抽出，逕付二讀，並列為本次會議討論事項第十八案。【在場委員129人，贊成者112人，反對者11人，多數通過，並採記名表決方式，表決結果名單附後(四)】 ,Passed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/03/LCEWC03_060203.htm,"094/09/23, 094/09/27"
6,2,3,0,5,柒、本院無黨團結聯盟黨團提議變更議程，將「稅捐稽徵法第二十四條條文修正草案」由財政委員會抽出，逕付二讀，並交由無黨團結聯盟黨團負責召集協商。【在場委員117人，贊成者106人，反對者11人，多數通過，並採記名表決方式，表決結果名單附後(五)】 ,Passed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/03/LCEWC03_060203.htm,"094/09/23, 094/09/27"
6,2,3,0,6,捌、本院無黨團結聯盟黨團提議變更議程，將「行政執行法第十七條條文修正草案」由司法、法制兩委員會抽出，逕付二讀，並交由無黨團結聯盟黨團負責召集協商。【在場委員121人，贊成者109人，反對者11人，多數通過，並採記名表決方式，表決結果名單附後(六)】 ,Passed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/03/LCEWC03_060203.htm,"094/09/23, 094/09/27"
6,1,14,0,1,屬單位預算營業及非營業部分中有關釋股部分當年度未及執行，均報經行政院專案核准，有違預算法第72條：「會計年度結束後，各機關已發生尚未收得之收入，應即轉入下年度列為以前年度應收款；其經費未經使用者，應即停止使用。但已發生而尚未清償之債務或契約責任部分，經核准者，得轉入下年度列為以前年度應付款或保留數準備」之規定，因此，其公股未於當年度確實釋股者，不得再行保留。【經在場委員203人，贊成者103人，反對者100人，多數通過；並採記名表決方式，表決結果名單附後(一)】 ,Passed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/01/14/LCEWC03_060114.htm,"094/05/27, 094/05/31"
6,1,14,0,2,(八)中央政府總預算案中列為資本支出者，在特種基金中不得違法移作經常性支出使用。【經在場委員203人，贊成者104人，反對者88人，多數通過；並採記名表決方式，表決結果名單附後(二)】 ,Passed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/01/14/LCEWC03_060114.htm,"094/05/27, 094/05/31"
6,1,14,0,3,"1.西寶水力發電計畫案，(1)該計畫不符合投資效率，經查該水庫發電量僅74.2千瓩，整體工程需投資113億元，現值報酬率6.78%，回收年限44年（本案已投資16億4,216萬5,000元），(2)環境評估報告不實，對該地區之溫泉資源刻意忽略及對生態之影響甚巨，(3)對當地社區居民造成之不利影響，臺電公司至今尚無法說服，勢必會開啟衝突與抗爭，給社會帶來不安，建議刪減10億4,019萬8,000元。【經在場委員198人，贊成者154人，反對者28人，多數通過；並採記名表決方式，表決結果名單附後(三)】 ",Passed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/01/14/LCEWC03_060114.htm,"094/05/27, 094/05/31"
6,1,14,0,4,1.有關基隆港務局94年度營業預算「港區動態管理中心」部分，因在預算書中說明不清，並與基隆港92年建置啟用的「CCTV監控港區作業動態系統」功能重疊，其具體效益有限，建議予以全額保留，俟向交通委員會報告同意後，始得動支。【經在場委員200人，贊成者101人，反對者98人，多數通過；並採記名表決方式，表決結果名單附後(四)】 ,Passed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/01/14/LCEWC03_060114.htm,"094/05/27, 094/05/31"
6,1,14,0,5,4.中華電信公司應停止執行所有釋股作業。【經在場委員205人，贊成者108人，反對者97人，多數通過；並採記名表決方式，表決結果名單附後(五)】 ,Passed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/01/14/LCEWC03_060114.htm,"094/05/27, 094/05/31"
6,1,14,0,6,4.高鐵公司賠償仲裁損失新臺幣21億元，由原始五大股東負全責。【經在場委員210人，贊成者111人，反對者88人，多數通過；並採記名表決方式，表決結果名單附後(六)】 ,Passed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/01/14/LCEWC03_060114.htm,"094/05/27, 094/05/31"
6,1,14,0,7,"1.刪減中油公司「固定資產建設改良擴充項目—石化事業部三輕更新投資計畫」1億6,668萬2,000元。【經在場委員192人，贊成者21人，反對者156人，少數不通過；並採記名表決方式，表決結果名單附後(七)】 ",NotPassed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/01/14/LCEWC03_060114.htm,"094/05/27, 094/05/31"
6,1,14,0,8,"2.鑑於中華發展基金的計畫目標就是要配合大陸政策並循序漸進推動兩岸交流，以建立兩岸良性互動關係，此立意本是十分良善，然卻被國內若干親中團體與人士加以濫用，明顯有假「學術自由」行政黨、個人私利之嫌；陸委會如此沒有嚴格審查，導致國家資源被公器私用，甚至是配合補助到中國朝拜，相當令人失望。像此次由國民黨國發院長關中擔任理事長的中華民國美國研究學會，向陸委會申請於94年4月14日至21日赴中國參加「21世紀國際局勢展望研討會」的補助，表面上是參加學術活動，暗地裡卻在為連戰4月底訪問大陸舖路，就是最明顯的例子。因此建議「兩岸交流計畫」中的「會費、捐助、補助、分攤與交流費用」3,370萬元，刪減500萬元，以示警惕。【經在場委員205人，贊成者14人，反對者188人，少數不通過；並採記名表決方式，表決結果名單附後(八)】 ",NotPassed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/01/14/LCEWC03_060114.htm,"094/05/27, 094/05/31"
6,1,14,0,9,"3.鑑於中華發展基金設置之計畫目標就是要配合大陸政策並循序漸進推動兩岸交流，以建立兩岸良性互動關係，立意良善，然中國在94年3月通過對我非常不友善之「反分裂國家法」，因此認為政府應做相關調整以宣示立場。建議凍結「兩岸交流計畫」中的「專業服務費」1,590萬元，關於邀請大陸文教專業人士來臺參訪及增進兩岸藝文交流費用，俟陸委會視中國當局調整相關決策以示對我國的善意，並向本院內政及民族、預算及決算委員會報告後，始得動支。【經在場委員207人，贊成者12人，反對者195人，少數不通過；並採記名表決方式，表決結果名單附後(九)】 ",NotPassed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/01/14/LCEWC03_060114.htm,"094/05/27, 094/05/31"
6,1,14,0,10,"4.鑑於中華發展基金的計畫目標就是要配合大陸政策並循序漸進推動兩岸交流，以建立兩岸良性互動關係，此立意本是十分良善，然隨著時代的不同，有些政策性的補助似乎已到了該調整的地步。以兩岸目前文化資訊交流的蓬勃發展來看，補助兩岸地區圖書到彼岸出版似乎已無必要，特別不論是臺灣著作到中國出版的申請補助，或是中國著作到臺灣出版的申請補助，都有件數逐年下降的趨勢以及件數少的現象，像90-92年，就各只剩下20、18、7件以及4、3、8件，對所預期要達成的效益似乎很有限。因此提案要求不得挪用「兩岸交流計畫」中的「會費、捐助、補助、分攤與交流費用」3,370萬元中的部分費用於「補助兩岸優良著作於彼岸出版發行的費用」（預計辦理30案）。【經在場委員209人，贊成者13人，反對者195人，少數不通過；並採記名表決方式，表決結果名單附後(十)】 ",NotPassed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/01/14/LCEWC03_060114.htm,"094/05/27, 094/05/31"
6,1,13,0,1,決議：國民大會職權行使法草案修正通過。〔二讀時，第一條修正為：「本法依憲法第三十四條及憲法增修條文第一條制定之。（第一項），本法未規定者，適用其他法律之規定。（第二項）；第二條修正為：「國民大會代表於選舉結果確認後十日內自行集會，集會以一個月為限。其集會首日由當選國民大會代表所屬之各政黨、選舉聯盟（以下簡稱聯盟）協商決定之。」；第三條修正為：「國民大會秘書處應於國民大會集會前，將立法院所提之憲法修正案、領土變更案或總統、副總統彈劾案，印送全體代表。（第一項），立法院應於國民大會集會時，派員至國民大會集會地點，向全體代表說明立法院所提之憲法修正案、領土變更案或總統、副總統彈劾案之提案要旨。（第二項）；第四條修正為：「國民大會於開議日舉行預備會議，進行代表宣誓。（第一項），開議日之預備會議主席，由當選名額最多之政黨、聯盟，其推薦名單排列次序列於首位者擔任之。（第二項）」；第五條修正為：「國民大會設主席團主席十一人，負責主持會議。」；第六條修正為：「議事日程之排定，由主席團主席共同決定之。」；第七條修正為：「國民大會集會非有代表總額三分之一以上人數之出席，不得開議。」；第八條修正為：「政黨、聯盟推薦之國民大會代表行使職權時，應依其所屬政黨、聯盟在選票所刊印之贊成或反對意見，以記名投票之方式為之。其違反者，以廢票論。」；第九條修正為：「國民大會代表對於立法院所提之憲法修正案、領土變更案，應為全案複決，並不得再為修正之動議。」；第十條修正為：「憲法修正案，經立法院派員說明提案要旨後，不經討論，應即行使複決，經國民大會代表總額四分之三以上之同意者，該憲法修正案即為通過。（第一項），領土變更案，經立法院派員說明提案要旨後，不經討論，應即行使複決，經國民大會代表總額三分之二以上之出席，出席代表四分之三以上之同意者，該領土變更案即為通過。（第二項），總統、副總統彈劾案，經立法院派員說明提案要旨後，不經討論，應即行使表決，經國民大會代表總額三分之二以上之同意者，該總統、副總統彈劾案即為通過。（第三項）」；第十一條修正為：「憲法修正案、領土變更案複決結果確定後，三日內由國民大會咨請總統公布。」；第十二條修正為：「會議主席宣告總統、副總統彈劾案通過時，被彈劾人之解職即行生效。」；第十三條修正為：「總統、副總統彈劾案議決結果確定後，三日內由國民大會公告之，並通知立法院及被彈劾人。」；第十四條修正為：「國民大會審議總統、副總統彈劾案時，被彈劾人辭職或死亡，即終止審議。」；第十五條修正為：「本法自公布日施行。」三讀時，均照二讀文字通過；三讀後民進黨黨團針對第八條及第十條提出復議，經決議維持原決議。（在場委員210人，贊成復議案通過者87人，反對者123人，少數不通過；並採記名表決方式，表決結果名單附後） ,NotPassed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/01/13/LCEWC03_060113.htm,"094/05/20, 094/05/24"
6,4,2,0,1,決定：10月11日、12日召開全院委員會審查，並於10月13日提報院會記名投票表決。【經在場委員188人，贊成者106人，反對者82人，多數通過，並採記名表決方式，表決結果名單附後。】 ,Passed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/04/02/LCEWC03_060402.htm,"095/09/29, 095/10/03, 095/10/04"
6,3,15,0,1,決議：本項所列各案照第6屆第3會期第13次會議原決定處理。〔經在場委員206人，贊成復議案通過者98人，反對者108人，少數不通過；並採記名表決方式，表決結果名單附後〕 ,NotPassed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/03/15/LCEWC03_060315.htm,"095/05/26, 095/05/30"
6,3,13,0,1,決議：本項所列各案照第6屆第1會期第13次會議原決定處理。【經在場委員204人，贊成復議案通過者96人，反對者107人，少數不通過，並採記名表決方式，表決結果名單附後(一)】 ,NotPassed,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/03/13/LCEWC03_060313.htm,"095/05/12, 095/05/16"
