termmeetingtime,kind,date,HTML4,HTML5,HTML6,HTML7,HTML8,HTML9,HTML10,HTML11,HTML12,HTML13,term,period,temp_meeting_no,meetingno,testformalmeetingname
第06屆 第03會期 第06次會議,常會,"095/03/24, 095/03/28",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/03/06/LCEWC03_060306.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/03/06/LCEWC03_060306.htm,,,,,,,,,6,3,,6,立法院第6屆第3會期第6次
第06屆 第03會期 第05次會議,常會,"095/03/17, 095/03/21",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/03/05/LCEWC03_060305.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/03/05/LCEWC03_060305.htm,,,,,,,,,6,3,,5,立法院第6屆第3會期第5次
第06屆 第03會期 第04次會議,常會,"095/03/10, 095/03/14",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/03/04/LCEWC03_060304.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/03/04/LCEWC03_060304.htm,,,,,,,,,6,3,,4,立法院第6屆第3會期第4次
第06屆 第03會期 第03次會議,常會,"095/03/03, 095/03/06, 095/03/07",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/03/03/LCEWC03_060303.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/03/03/LCEWC03_060303.htm,,,,,,,,,6,3,,3,立法院第6屆第3會期第3次
第06屆 第03會期 第02次會議,常會,095/02/24,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/03/02/LCEWC03_060302.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/03/02/LCEWC03_060302.htm,,,,,,,,,6,3,,2,立法院第6屆第3會期第2次
第06屆 第03會期 第01次會議,常會,095/02/21,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/03/01/LCEWC03_060301.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/03/01/LCEWC03_060301.htm,,,,,,,,,6,3,,1,立法院第6屆第3會期第1次
第06屆 第02會期 第19次會議,常會,"095/01/11, 095/01/12, 095/01/13",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/19/LCEWC03_060219.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/02/19/LCEWC03_060219.htm,,,,,,,,,6,2,,19,立法院第6屆第2會期第19次
第06屆 第02會期 第18次會議,常會,"095/01/06, 095/01/10",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/18/LCEWC03_060218.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/02/18/LCEWC03_060218.htm,,,,,,,,,6,2,,18,立法院第6屆第2會期第18次
第06屆 第02會期 第17次會議,常會,"094/12/30, 095/01/03",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/17/LCEWC03_060217.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/02/17/LCEWC03_060217.htm,,,,,,,,,6,2,,17,立法院第6屆第2會期第17次
第06屆 第02會期 第16次會議,常會,094/12/23,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/16/LCEWC03_060216.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/02/16/LCEWC03_060216.htm,,,,,,,,,6,2,,16,立法院第6屆第2會期第16次
第06屆 第02會期 第15次會議,常會,"094/12/16, 094/12/20",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/15/LCEWC03_060215.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/02/15/LCEWC03_060215.htm,,,,,,,,,6,2,,15,立法院第6屆第2會期第15次
第06屆 第02會期 第14次會議,常會,"094/12/09, 094/12/13",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/14/LCEWC03_060214.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/02/14/LCEWC03_060214.htm,,,,,,,,,6,2,,14,立法院第6屆第2會期第14次
第06屆 第02會期 第13次會議,常會,094/12/06,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/02/13/LCEWC03_060213.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/02/13/LCEWC03_060213.htm,,,,,,,,,6,2,,13,立法院第6屆第2會期第13次
第06屆 第05會期 第11次會議,常會,"096/05/04, 096/05/08",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/05/11/LCEWC03_060511.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/05/11/LCEWC03_060511.htm,,,,,,,,,6,5,,11,立法院第6屆第5會期第11次
第06屆 第05會期 第10次會議,常會,"096/04/27, 096/05/01",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/05/10/LCEWC03_060510.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/05/10/LCEWC03_060510.htm,,,,,,,,,6,5,,10,立法院第6屆第5會期第10次
第06屆 第05會期 第09次會議,常會,096/04/20,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/05/09/LCEWC03_060509.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/05/09/LCEWC03_060509.htm,,,,,,,,,6,5,,9,立法院第6屆第5會期第9次
第06屆 第05會期 第08次會議,常會,"096/04/13, 096/04/17",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/05/08/LCEWC03_060508.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/05/08/LCEWC03_060508.htm,,,,,,,,,6,5,,8,立法院第6屆第5會期第8次
第06屆 第05會期 第07次會議,常會,096/04/10,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/05/07/LCEWC03_060507.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/05/07/LCEWC03_060507.htm,,,,,,,,,6,5,,7,立法院第6屆第5會期第7次
第06屆 第05會期 第06次會議,常會,"096/03/30, 096/04/03",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/05/06/LCEWC03_060506.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/05/06/LCEWC03_060506.htm,,,,,,,,,6,5,,6,立法院第6屆第5會期第6次
第06屆 第05會期 第05次會議,常會,"096/03/23, 096/03/27, 096/03/29",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/05/05/LCEWC03_060505.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/05/05/LCEWC03_060505.htm,,,,,,,,,6,5,,5,立法院第6屆第5會期第5次
第06屆 第05會期 第04次會議,常會,"096/03/16, 096/03/20, 096/03/22",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/05/04/LCEWC03_060504.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/05/04/LCEWC03_060504.htm,,,,,,,,,6,5,,4,立法院第6屆第5會期第4次
第06屆 第05會期 第03次會議,常會,"096/03/09, 096/03/13, 096/03/15",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/05/03/LCEWC03_060503.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/05/03/LCEWC03_060503.htm,,,,,,,,,6,5,,3,立法院第6屆第5會期第3次
第06屆 第05會期 第02次會議,常會,"096/03/02, 096/03/05, 096/03/06, 096/03/08",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/05/02/LCEWC03_060502.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/05/02/LCEWC03_060502.htm,,,,,,,,,6,5,,2,立法院第6屆第5會期第2次
第06屆 第05會期 第01次會議,常會,096/02/27,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/05/01/LCEWC03_060501.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/05/01/LCEWC03_060501.htm,,,,,,,,,6,5,,1,立法院第6屆第5會期第1次
第06屆 第04會期 第17次會議,常會,"096/01/18, 096/01/19",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/04/17/LCEWC03_060417.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/04/17/LCEWC03_060417.htm,,,,,,,,,6,4,,17,立法院第6屆第4會期第17次
第06屆 第04會期 第16次會議,常會,"096/01/12, 096/01/16",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/04/16/LCEWC03_060416.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/04/16/LCEWC03_060416.htm,,,,,,,,,6,4,,16,立法院第6屆第4會期第16次
第06屆 第04會期 第15次會議,常會,"096/01/05, 096/01/09",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/04/15/LCEWC03_060415.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/04/15/LCEWC03_060415.htm,,,,,,,,,6,4,,15,立法院第6屆第4會期第15次
第06屆 第04會期 第14次會議,常會,"095/12/29, 096/01/02",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/04/14/LCEWC03_060414.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/04/14/LCEWC03_060414.htm,,,,,,,,,6,4,,14,立法院第6屆第4會期第14次
第06屆 第04會期 第13次會議,常會,"095/12/22, 095/12/26",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/04/13/LCEWC03_060413.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/04/13/LCEWC03_060413.htm,,,,,,,,,6,4,,13,立法院第6屆第4會期第13次
第06屆 第04會期 第12次會議,常會,"095/12/15, 095/12/19",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/04/12/LCEWC03_060412.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/04/12/LCEWC03_060412.htm,,,,,,,,,6,4,,12,立法院第6屆第4會期第12次
第06屆 第04會期 第11次會議,常會,095/12/12,http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/04/11/LCEWC03_060411.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/04/11/LCEWC03_060411.htm,,,,,,,,,6,4,,11,立法院第6屆第4會期第11次
第06屆 第04會期 第10次會議,常會,"095/12/01, 095/12/05",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/04/10/LCEWC03_060410.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/04/10/LCEWC03_060410.htm,,,,,,,,,6,4,,10,立法院第6屆第4會期第10次
第06屆 第04會期 第09次會議,常會,"095/11/24, 095/11/28",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/04/09/LCEWC03_060409.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/04/09/LCEWC03_060409.htm,,,,,,,,,6,4,,9,立法院第6屆第4會期第9次
第06屆 第04會期 第08次會議,常會,"095/11/17, 095/11/21",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/04/08/LCEWC03_060408.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/04/08/LCEWC03_060408.htm,,,,,,,,,6,4,,8,立法院第6屆第4會期第8次
第06屆 第04會期 第07次會議,常會,"095/11/10, 095/11/14",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/04/07/LCEWC03_060407.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/04/07/LCEWC03_060407.htm,,,,,,,,,6,4,,7,立法院第6屆第4會期第7次
第06屆 第04會期 第06次會議,常會,"095/11/03, 095/11/07",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/04/06/LCEWC03_060406.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/04/06/LCEWC03_060406.htm,,,,,,,,,6,4,,6,立法院第6屆第4會期第6次
第06屆 第04會期 第05次會議,常會,"095/10/27, 095/10/31",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/04/05/LCEWC03_060405.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/04/05/LCEWC03_060405.htm,,,,,,,,,6,4,,5,立法院第6屆第4會期第5次
第06屆 第04會期 第04次會議,常會,"095/10/20, 095/10/24",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/04/04/LCEWC03_060404.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/04/04/LCEWC03_060404.htm,,,,,,,,,6,4,,4,立法院第6屆第4會期第4次
第06屆 第06會期 第16次會議,常會,"096/12/19, 096/12/20, 096/12/21, 096/12/21",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/06/16/LCEWC03_060616.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/06/16/LCEWC03_060616.htm,,,,,,,,,6,6,,16,立法院第6屆第6會期第16次
第06屆 第06會期 第15次會議,常會,"096/12/14, 096/12/18",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/06/15/LCEWC03_060615.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/06/15/LCEWC03_060615.htm,,,,,,,,,6,6,,15,立法院第6屆第6會期第15次
第06屆 第06會期 第14次會議,常會,"096/12/07, 096/12/11",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/06/14/LCEWC03_060614.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/06/14/LCEWC03_060614.htm,,,,,,,,,6,6,,14,立法院第6屆第6會期第14次
第06屆 第06會期 第13次會議,常會,"096/11/30, 096/12/04",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/06/13/LCEWC03_060613.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/06/13/LCEWC03_060613.htm,,,,,,,,,6,6,,13,立法院第6屆第6會期第13次
第06屆 第06會期 第12次會議,常會,"096/11/23, 096/11/27",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/06/12/LCEWC03_060612.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/06/12/LCEWC03_060612.htm,,,,,,,,,6,6,,12,立法院第6屆第6會期第12次
第06屆 第06會期 第11次會議,常會,"096/11/16, 096/11/20, 096/11/21",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/06/11/LCEWC03_060611.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/06/11/LCEWC03_060611.htm,,,,,,,,,6,6,,11,立法院第6屆第6會期第11次
第06屆 第06會期 第10次會議,常會,"096/11/09, 096/11/13",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/06/10/LCEWC03_060610.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/06/10/LCEWC03_060610.htm,,,,,,,,,6,6,,10,立法院第6屆第6會期第10次
第06屆 第06會期 第09次會議,常會,"096/11/02, 096/11/06",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/06/09/LCEWC03_060609.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/06/09/LCEWC03_060609.htm,,,,,,,,,6,6,,9,立法院第6屆第6會期第9次
第06屆 第06會期 第08次會議,常會,"096/10/26, 096/10/30",http://lci.ly.gov.tw/LyLCEW/html/agendarec/02/06/06/08/LCEWC03_060608.htm,http://lci.ly.gov.tw/LyLCEW/html/agendarec1/02/06/06/08/LCEWC03_060608.htm,,,,,,,,,6,6,,8,立法院第6屆第6會期第8次
