SURVEY	ID	valuelabelcomb
2004第四期第五次：公民權組	v101_11	0沒有;1有;97不知道;98拒答;99不適用
2004第四期第五次：公民權組	v101_2	0沒有;1有;97不知道;98拒答;99不適用
2004第四期第五次：公民權組	v101_3	0沒有;1有;97不知道;98拒答;99不適用
2004第四期第五次：公民權組	v101_4	0沒有;1有;97不知道;98拒答;99不適用
2004第四期第五次：公民權組	v101_5	0沒有;1有;97不知道;98拒答;99不適用
2004第四期第五次：公民權組	v101_6	0沒有;1有;97不知道;98拒答;99不適用
2004第四期第五次：公民權組	v101_7	0沒有;1有;97不知道;98拒答;99不適用
2004第四期第五次：公民權組	v101_8	0沒有;1有;97不知道;98拒答;99不適用
2004第四期第五次：公民權組	v101_9	0沒有;1有;97不知道;98拒答;99不適用
2004第四期第五次：公民權組	v102	1有;2沒有;97不知道;98拒答
2004第四期第五次：公民權組	v103	11至4人;25至9人;310至19人;420人以上;5沒有;97不知道;98拒答
2004第四期第五次：公民權組	v103a	1幾乎都是;2大部分是;3大概一半一半;4大部分不是;5幾乎都不是;97忘記或不知道;98拒答;99不適用
2004第四期第五次：公民權組	v104	1幾乎每天;2最少一個月一次;3最少一年一次;4去年一年都沒有;5從來沒有;97忘記或不知道;98拒答
2004第四期第五次：公民權組	v105a	1應該嚴格限制;2應該有點限制;3儘量不要限制;8<無>;94無法選擇;97忘記或不知道
2004第四期第五次：公民權組	v105b	1應該嚴格限制;2應該有點限制;3儘量不要限制;8<無>;94無法選擇;97忘記或不知道
2004第四期第五次：公民權組	v105c	1應該嚴格限制;2應該有點限制;3儘量不要限制;8<無>;94無法選擇;97忘記或不知道
2004第四期第五次：公民權組	v106a	1應該嚴格限制;2應該有點限制;3儘量不要限制;8<無>;94無法選擇;97忘記或不知道
2004第四期第五次：公民權組	v106b	1應該嚴格限制;2應該有點限制;3儘量不要限制;8<無>;94無法選擇;97忘記或不知道
2004第四期第五次：公民權組	v106c	1應該嚴格限制;2應該有點限制;3儘量不要限制;8<無>;94無法選擇;97忘記或不知道
2004第四期第五次：公民權組	v107a	1應該嚴格限制;2應該有點限制;3儘量不要限制;8<無>;94無法選擇;97忘記或不知道
2004第四期第五次：公民權組	v107b	1應該嚴格限制;2應該有點限制;3儘量不要限制;8<無>;94無法選擇;97忘記或不知道
2004第四期第五次：公民權組	v107c	1應該嚴格限制;2應該有點限制;3儘量不要限制;8<無>;94無法選擇;97忘記或不知道
2004第四期第五次：公民權組	v108	1佛教;2道教;3民間信仰;4一貫道;5軒轅教;6回教;7天主教;8基督教;9齋教;10鸞堂;11慈惠堂;12無宗教信仰;13其他;97不知道;98拒答
2004第四期第五次：公民權組	v109	1有;2沒有;3其他;97不知道;98拒答
2004第四期第五次：公民權組	v110	1有;2沒有;97不知道;98拒答
2004第四期第五次：公民權組	v111	1每星期數次;2每星期一次;3每個月數次;4每個月一次;5每年數次;6大約一年一次;7很少幾乎沒有;8從未參加;97不知道;98拒答
2004第四期第五次：公民權組	v112	1經常;2有時侯;3很少;4從來沒有;97不知道;98拒答;99不適用
2004第四期第五次：公民權組	v113	1經常;2有時侯;3很少;4從來沒有;97不知道;98拒答;99不適用
2004第四期第五次：公民權組	v114	1非常重要;2相當重要;3不太重要;4ㄧ點都不重要;97不知道;98拒答
2004第四期第五次：公民權組	v115	1有;2沒有;97不知道;98拒答
2004第四期第五次：公民權組	v115a	101慈濟功德會;102佛光山;103法鼓山;104中台禪寺;105禪定協會-清海;106印心禪學會-妙天;107顯相協會-宋七力;108創價佛教學會;109日蓮宗;131其他佛教團體;201長老會;202真耶穌教會;203教會聚會所;204浸信會;205靈糧堂;206信義會;207禮拜堂;231其他基督教團體;301王爺;302媽祖;303福德正神;304玄天上帝;305關聖帝君;306其他民間信仰團體;401道教團體;501天主教團體;601一貫道團體;701回教團體;801其他宗教團體;997不知道;998拒答;999不適用
2004第四期第五次：公民權組	v116	1經常;2有時侯;3很少;4從來沒有;97不知道;98拒答;99不適用
2004第四期第五次：公民權組	v117	1大都市;2大都市旁郊區;3小城鎮;4農村地區;5獨立農家;97不知道;98拒答
2004第四期第五次：公民權組	v118a	1非常重要;2很重要;3重要;4不太重要;97不知道;98拒答
2004第四期第五次：公民權組	v118b	1非常重要;2很重要;3重要;4不太重要;97不知道;98拒答
2004第四期第五次：公民權組	v118c	1非常重要;2很重要;3重要;4不太重要;97不知道;98拒答
2004第四期第五次：公民權組	v118d	1非常重要;2很重要;3重要;4不太重要;97不知道;98拒答
2004第四期第五次：公民權組	v119	1上層;2中上層;3中層;4中下層;5下層階級;97不知道;98拒答
